from,to,relationship,time
Namika,LGN,,2018
Namika,JoseCarreras,,2015
Namika,Arche,,
Namika,SOSKinderdorf,,
Namika,VCA,,
Trettmann,LGN,,2018
Trettmann,Entwicklungsgesellschaft,,2018
Trettmann,ProAsyl,,
Kool Savas,LGN,,2018
Kool Savas,VCA,,
Kool Savas,PETA,,
Kool Savas,LandeskriminalamtBW,,
Kool Savas,TelefonicaStiftung,,
Kool Savas,VFC,,
Kool Savas,Sonnenblume,,
Kool Savas,LM,,
Kool Savas,PFI,,
Miss Platnum,LGN,,2018
Miss Platnum,ProAsyl,,
Miss Platnum,DeutschesKinderhilfswerk,,
Miss Platnum,PPE,,
Smudo,LGN,,2018
Smudo,TilSchweiger,,
Smudo,PPE,,
Smudo,PETA,,
MatthiasKilling,LGN,,2018
MatthiasKilling,KinderhospizRegenbogenland,,
MatthiasKilling,UNICEF,,
MatthiasKilling,RHH,,
MatthiasKilling,SOSKinderdorf,,
Sido,LGN,,2018
Sido,UNICEF,,
VisaVie,LGN,,2018
VisaVie,FWB,,2018
VisaVie,SOSM,,2018
VisaVie,VFC,,2017
VisaVie,LM,,2017
FrederickLau,LGN,,2018
FrederickLau,VCA,,2018
Nura,LGN,,2018
Nura,Entwicklungsgesellschaft,,2018
Namika,LGN,,2018
Namika,Herzenssache,,2016
Namika,WR,,2016
DJChino,LGN,,2018
DJChino,CSD,,
DJChino,Afrikarise,,
DJChino,One,,
DJChino,AKVIP,,
DJChino,Clownsprechstunde,,
DJChino,Arche,,
DJChino,Kindernothilfe,,
Mateo,LGN,,2018
Mateo,CSD,,
Mateo,Afrikarise,,
Mateo,One,,
Mateo,AKVIP,,
Mateo,Clownsprechstunde,,
Mateo,Arche,,
Mateo,Kindernothilfe,,
DonCali,LGN,,2018
DonCali,CSD,,
DonCali,Afrikarise,,
DonCali,One,,
DonCali,AKVIP,,
DonCali,Clownsprechstunde,,
DonCali,Arche,,
DonCali,Kindernothilfe,,
Birka,SKOA,,
Birka,DKMS,,
Birka,SOAL,,
Birka,RTR,,
AntjeSchomaker,Birka,,
SalwaBenz,Birka,,
Elisa,Birka,,
JanSosniok,Birka,,
BRKN,Birka,,
DanJuergen,Birka,,
AlexandraWester,Birka,,
Olson,Birka,,
Andhim,Birka,,
SimonBos,Birka,,
JoshikoSaibou,Birka,,
Fruchtmax,Birka,,
ILIRA,Birka,,
Oliver Harris,Birka,,
Romee,Birka,,