ID ,name,sex ,art,art2,art3,nationalität,migration,engagement,follower,alter,management
Sido,Sido,1,1,NA,NA,1,1,NA,9,3,
Trettmann,Trettmann,1,1,NA,NA,1,2,NA,8,4,
Namika,Namika,2,1,NA,NA,1,1,NA,5,2,
Nura,Nura,1,1,NA,NA,2,1,NA,9,2,
FrederickLau,Frederick Lau,1,2,NA,NA,1,2,NA,4,2,
VisaVie,Visa Vie,2,1,4,2,1,NA,NA,5,3,
KoolSavas,KoolSavas,1,1,NA,NA,1,1,NA,8,4,
Smudo,Smudo,1,1,NA,NA,1,2,NA,5,4,
AntjeSchomaker,Antje Schomaker,2,1,NA,NA,1,,NA,2,2,
Mateo,Mateo Jasik,1,1,,,,,NA,2,3,
SalwaBenz,Salwa Benz,2,,,,,,NA,2,,
Elisa,Elisa,2,,,,,,NA,4,,
DJChino,DJ Chino,1,1,,,,,NA,1,,
MatthiasKilling,Matthias Killing,1,,,,,,NA,4,,
MissPlatnum,Miss Platnum,2,,,,,,NA,2,3,
BRKN,BRKN,1,1,,,,,NA,2,,
JanSosniok,Jan Sosniok,1,2,NA,NA,,,NA,1,4,
DonCali,Don Cali,1,,,,,,NA,1,,
DanJuergen,Dan Jürgen,1,,,,,,NA,5,,
AlexandraWester,Alexandra Wester,2,,,,,,NA,4,2,
Olson,Olson,1,,,,,,NA,3,3,
Andhim,Andhim,1,,,,1,2,NA,4,5,
SimonBos,Simon Bos,1,,,,1,2,NA,10,,
JoshikoSaibou,Joshiko Saibou,1,,,,1,1,NA,1,2,
Fruchtmax,Fruchtmax,1,,,,1,2,NA,2,,
ILIRA,ILIRA,,,,,2,1,NA,2,2,
Oliver Harris,Oliver Harris,,,,,1,1,NA,2,4,
Romee,Romee,,1,3,,1,1,NA,4,2,
LGN,Laut gegen Nazis,,,,,,,5,,,
JoseCarreras,José Carreras Leukämie Stiftung,NA,NA,NA,NA,NA,NA,6,,,
Arche,Die Arche Christliches Kinder-und Jugendwerk e.V.,NA,NA,NA,NA,NA,NA,2,,,
SOSKinderdorf,SOS-Kinderdorf e.V.,NA,NA,NA,NA,NA,NA,2,,,
VCA,Viva con Agua de Sankt Pauli e.V,NA,NA,NA,NA,NA,NA,8,,,
Entwicklungsgesellschaft,Chemnitzer Wirtschaftsförderungs- und Entwicklungsgesellschaft mbH,NA,NA,NA,NA,NA,NA,5,,,
ProAsyl,Pro Asyl,NA,NA,NA,NA,NA,NA,5,,,
PETA,PETA Deutschland e.V.,NA,NA,NA,NA,NA,NA,4,,,
LandeskriminalamtBW, Landeskriminalamt Baden- Würtemberg,NA,NA,NA,NA,NA,NA,NA,,,
TelefonicaStiftung,Telefonica Stiftung,NA,NA,NA,NA,NA,NA,2,,,
VFC,Visions for Children e.V.,NA,NA,NA,NA,NA,NA,2,,,
Sonnenblume,Sonnenblume e.V.,NA,NA,NA,NA,NA,NA,NA,,,
PFI,PFIF - Partner für Innovation & Förderung GmbH & Co. KG (Du bist Deutschland- Kampagne),NA,NA,NA,NA,NA,NA,NA,,,
DeutschesKinderhilfswerk,Deutsches Kinderhilfswerk e.V. (Bildungspaket für Flüchtlingskinder),NA,NA,NA,NA,NA,NA,2,,,
PPE,P x P Embassy e.V. (PXP Festival (Kinder)),NA,NA,NA,NA,NA,NA,2,,,
TilSchweiger,Til Schweiger Foundation,NA,NA,NA,NA,NA,NA,2,,,
CSD,Berliner CSD e.V. ,NA,NA,NA,NA,NA,NA,8,,,
Afrikarise,Afrika Rise e.V.,NA,NA,NA,NA,NA,NA,,,,
One,One,NA,NA,NA,NA,NA,NA,,,,
AKVIP,Alle Kinder sind VIPs,NA,NA,NA,NA,NA,NA,2,,,
Clownsprechstunde,Clownsprechstunde,NA,NA,NA,NA,NA,NA,,,,
Kindernothilfe,Kindernothilfe,NA,NA,NA,NA,NA,NA,2,,,
KinderhospizRegenbogenland,KinderhospizRegenbogenland,NA,NA,NA,NA,NA,NA,2,,,
UNICEF,Kinderhilfswerk der Vereinten Nationen (Unicef),NA,NA,NA,NA,NA,NA,2,,,
RHH,Ran hilft Haiti,NA,NA,NA,NA,NA,NA,,,,
FWB,Friends with benefits,NA,NA,NA,NA,NA,NA,,,,
SOSM,SOS Mediterranee Deutschland e.V.,,NA,NA,NA,NA,NA,,,,
Herzenssache,Herzenssache e.V. ,,,,,,,,,,
WR,Weißer Ring Gemeinnütziger Verein zur Unterstützung von Kriminalitätsopfern und zur Verhütung von Straftaten e. V.,,,,,,,8,,,
LM,Lübmedia GmbH,,,,,,,,,,
SKOA,Smiling Kids of Africa ,,,,,,,,,,
DKMS,DKMS gemeinnützige GmbH,,,,,,,,,,
SOAL,Sozialistische Alternative - SAV Berlin ,,,,,,,,,,
RTR,Race to Raise ,,,,,,,,,,
Birka,Birka,,,,,,,,,,